"ΟΝΟΜΑΣΙΑ ΦΟΡΕΑ - ΥΠΗΡΕΣΙΑΣ","ΕΠΟΠΤΕΥΟΝ ΥΠΟΥΡΓΕΙΟ","ΝΟΜΙΚΗ ΜΟΡΦΗ - ΕΙΔΟΣ ΥΠΗΡΕΣΙΑΣ","ΤΟΜΕΙΣ ΠΟΛΙΤΙΚΗΣ","ΥΠΑΓΩΓΗ ΣΤΟ ΔΗΜΟΣΙΟ ΤΟΜΕΑ","ΛΟΙΠΕΣ ΠΛΗΡΟΦΟΡΙΕΣ",﻿"URL","FRAMEWORKS","SERVER","CDN","SSL","COPYRIGHT"
"ΤΕΙ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ","ΠΑΙΔΕΙΑΣ ΕΡΕΥΝΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","ΠΑΙΔΕΙΑΣ ΔΙΑ ΒΙΟΥ ΜΑΘΗΣΗΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ","ΕΝΤΟΣ","","moda.teicm.gr/","ASP.NET/","IIS/IIS 7/","N/A","N/A","self hosted","N/A"
"ΤΕΙ ΚΡΗΤΗΣ ","ΠΑΙΔΕΙΑΣ ΕΡΕΥΝΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","ΠΑΙΔΕΙΑΣ ΔΙΑ ΒΙΟΥ ΜΑΘΗΣΗΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ","ΕΝΤΟΣ","","https://www.teicrete.gr/","PHP/","Apache 2.2/Apache/Apache 2.4/","yes","yes","Dedicated Hosting","Copyright Year 2017"
"ΤΕΙ ΠΕΛΟΠΟΝΝΗΣΟΥ ","ΠΑΙΔΕΙΑΣ ΕΡΕΥΝΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","ΠΑΙΔΕΙΑΣ ΔΙΑ ΒΙΟΥ ΜΑΘΗΣΗΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ","ΕΝΤΟΣ","","www.teipel.gr/","PHP/","Apache 2.4/Apache/","N/A","yes","Dedicated Hosting","Copyright Year 2012"
"ΤΕΙ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ ","ΠΑΙΔΕΙΑΣ ΕΡΕΥΝΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","ΠΑΙΔΕΙΑΣ ΔΙΑ ΒΙΟΥ ΜΑΘΗΣΗΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ","ΕΝΤΟΣ","","info.teiste.gr","PHP/","Apache/Apache 2.4/","N/A","N/A","self hosted","N/A"
"ΤΕΛΛΟΓΛΕΙΟ ΙΔΡΥΜΑ ΤΕΧΝΩΝ ΑΡΙΣΤΟΤΕΛΕΙΟΥ ΠΑΝΕΠΙΣΤΗΜΙΟΥ ΘΕΣΣΑΛΟΝΙΚΗΣ","ΠΟΛΙΤΙΣΜΟΥ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ","ΚΟΙΝΩΦΕΛΗ ΙΔΡΥΜΑΤΑ","ΠΟΛΙΤΙΣΜΟΥ","ΕΚΤΟΣ","","https://www.teloglion.gr","","Apache/nginx/","yes","N/A","self hosted","Copyright Year 2017"
"ΤΕΛΩΝΕΙΑ ","ΑΝΕΞΑΡΤΗΤΗ ΑΡΧΗ ΔΗΜΟΣΙΩΝ ΕΣΟΔΩΝ","ΑΠΟΚΕΝΤΡΩΜΕΝΕΣ - ΠΕΡΙΦΕΡΕΙΑΚΕΣ ΥΠΗΡΕΣΙΕΣ","","ΕΝΤΟΣ","","https://www.dogma.gr","Shockwave Flash Embed/PHP/","Apache/Apache 2.4/Varnish/","yes","yes","Cloudflare Hosting","N/A"
"ΤΕΛΩΝΕΙΑΚΕΣ ΠΕΡΙΦΕΡΕΙΕΣ ","ΑΝΕΞΑΡΤΗΤΗ ΑΡΧΗ ΔΗΜΟΣΙΩΝ ΕΣΟΔΩΝ","ΥΠΗΡΕΣΙΕΣ ΕΙΔΙΚΟΥ ΣΚΟΠΟΥ","","ΕΝΤΟΣ","","https://www.taxheaven.gr","Shockwave Flash Embed/PHP/","Apache 2.2/Apache/nginx/","yes","yes","Cloudflare Hosting","N/A"
"ΤΕΧΝΙΚΟ ΕΠΙΜΕΛΗΤΗΡΙΟ ΕΛΛΑΔΟΣ ","ΥΠΟΔΟΜΩΝ ΚΑΙ ΜΕΤΑΦΟΡΩΝ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","ΥΠΟΔΟΜΩΝ","ΕΝΤΟΣ","","https://web.tee.gr/","Modernize/PHP/","nginx/","N/A","N/A","self hosted","N/A"
"ΤΜΗΜΑΤΑ ΣΥΝΟΡΙΑΚΗΣ ΦΥΛΑΞΗΣ ΚΑΙ ΔΙΩΞΗΣ ΠΑΡΑΝΟΜΗΣ ΜΕΤΑΝΑΣΤΕΥΣΗΣ ","ΕΣΩΤΕΡΙΚΩΝ","ΑΠΟΚΕΝΤΡΩΜΕΝΕΣ - ΠΕΡΙΦΕΡΕΙΑΚΕΣ ΥΠΗΡΕΣΙΕΣ","ΔΗΜΟΣΙΑΣ ΤΑΞΗΣ ΚΑΙ ΠΡΟΣΤΑΣΙΑΣ ΤΟΥ ΠΟΛΙΤΗ","ΕΝΤΟΣ","","https://www.protothema.gr","ASP.NET 4.0/ASP.NET/ASP.NET Ajax/Telerik Controls/ASP.NET MVC/","Varnish/IIS/IIS 7/IIS 10/","yes","yes","Microsoft","N/A"
"ΤΟΠΙΚΟΙ ΟΡΓΑΝΙΣΜΟΙ ΕΓΓΕΙΩΝ ΒΕΛΤΙΩΣΕΩΝ","ΑΓΡΟΤΙΚΗΣ ΑΝΑΠΤΥΞΗΣ ΚΑΙ ΤΡΟΦΙΜΩΝ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΙΔΙΩΤΙΚΟΥ ΔΙΚΑΙΟΥ","","ΕΝΤΟΣ","","https://www.ypethe.gr","","Apache 2.4/Apache/","yes","yes","Hetzner","N/A"
"ΤΡΑΙΝΟΣΕ - ΤΡΑΙΝΟΣΕ ΜΕΤΑΦΟΡΕΣ - ΜΕΤΑΦΟΡΙΚΕΣ ΥΠΗΡΕΣΙΕΣ ΕΠΙΒΑΤΩΝ ΚΑΙ ΦΟΡΤΙΟΥ ΑΝΩΝΥΜΗ ΣΙΔΗΡΟΔΡΟΜΙΚΗ ΕΤΑΙΡΕΙΑ","ΥΠΟΔΟΜΩΝ ΚΑΙ ΜΕΤΑΦΟΡΩΝ","ΑΝΩΝΥΜΕΣ ΕΤΑΙΡΕΙΕΣ","ΜΕΤΑΦΟΡΩΝ","ΕΚΤΟΣ","","www.minadmin.gov.gr","PHP/","Apache/Apache 2.4/","yes","N/A","self hosted","N/A"
"ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ","ΟΙΚΟΝΟΜΙΚΩΝ","ΔΙΦΥΟΥΣ ΧΑΡΑΚΤΗΡΑ ΝΟΜΙΚΟ ΠΡΟΣΩΠΟ","","ΕΚΤΟΣ","","www.epignosis.gr","Shockwave Flash Embed/","Apache/nginx/","yes","yes","Google","Copyright Year 2017"
"ΤΡΑΠΕΖΙΚΕΣ ΑΝΩΝΥΜΕΣ ΕΤΑΙΡΕΙΕΣ","ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΑΝΑΠΤΥΞΗΣ","ΑΝΩΝΥΜΕΣ ΕΤΑΙΡΕΙΕΣ","ΕΜΠΟΡΙΟΥ","ΕΚΤΟΣ","","https://golemislaw.gr","Avada/PHP/","Apache/","yes","yes","Hetzner","N/A"
"ΥΓΕΙΟΝΟΜΙΚΗ ΥΠΗΡΕΣΙΑ ΠΥΡΟΣΒΕΣΤΙΚΟΥ ΣΩΜΑΤΟΣ ","ΕΣΩΤΕΡΙΚΩΝ","ΥΠΗΡΕΣΙΕΣ ΕΙΔΙΚΟΥ ΣΚΟΠΟΥ","ΔΗΜΟΣΙΑΣ ΤΑΞΗΣ ΚΑΙ ΠΡΟΣΤΑΣΙΑΣ ΤΟΥ ΠΟΛΙΤΗ","ΕΝΤΟΣ","","noWebsite","","","","","",""
"ΥΠΗΡΕΣΙΑ ΑΣΥΛΟΥ ","ΜΕΤΑΝΑΣΤΕΥΤΙΚΗΣ ΠΟΛΙΤΙΚΗΣ","ΑΥΤΟΤΕΛΕΙΣ ΔΗΜΟΣΙΕΣ ΥΠΗΡΕΣΙΕΣ","","ΕΝΤΟΣ","","www.moi.gov.cy","PHP/","Lotus Domino/Apache/","N/A","yes","Fasthosts","N/A"
"ΥΠΗΡΕΣΙΑ ΔΙΕΘΝΩΝ ΣΧΕΣΕΩΝ ","ΕΞΩΤΕΡΙΚΩΝ","ΑΠΟΚΕΝΤΡΩΜΕΝΕΣ - ΠΕΡΙΦΕΡΕΙΑΚΕΣ ΥΠΗΡΕΣΙΕΣ","","ΕΝΤΟΣ","","noWebsite","","","","","",""
"ΥΠΗΡΕΣΙΑ ΕΝΑΕΡΙΩΝ ΜΕΣΩΝ ","ΝΑΥΤΙΛΙΑΣ ΚΑΙ ΝΗΣΙΩΤΙΚΗΣ ΠΟΛΙΤΙΚΗΣ","ΥΠΗΡΕΣΙΕΣ ΕΙΔΙΚΟΥ ΣΚΟΠΟΥ","","ΕΝΤΟΣ","","www.astynomia.gr","Shockwave Flash Embed/PHP/","Apache/","N/A","N/A","self hosted","N/A"
"ΥΠΗΡΕΣΙΑ ΕΝΑΕΡΙΩΝ ΜΕΣΩΝ ΕΛΛΗΝΙΚΗΣ ΑΣΤΥΝΟΜΙΑΣ ","ΕΣΩΤΕΡΙΚΩΝ","ΥΠΗΡΕΣΙΕΣ ΕΙΔΙΚΟΥ ΣΚΟΠΟΥ","ΔΗΜΟΣΙΑΣ ΤΑΞΗΣ ΚΑΙ ΠΡΟΣΤΑΣΙΑΣ ΤΟΥ ΠΟΛΙΤΗ","ΕΝΤΟΣ","","www.astynomia.gr","Shockwave Flash Embed/PHP/","Apache/","N/A","N/A","self hosted","N/A"
"ΥΠΗΡΕΣΙΑ ΕΝΑΕΡΙΩΝ ΜΕΣΩΝ ΤΟΥ ΠΥΡΟΣΒΕΣΤΙΚΟΥ ΣΩΜΑΤΟΣ ","ΕΣΩΤΕΡΙΚΩΝ","ΥΠΗΡΕΣΙΕΣ ΕΙΔΙΚΟΥ ΣΚΟΠΟΥ","ΔΗΜΟΣΙΑΣ ΤΑΞΗΣ ΚΑΙ ΠΡΟΣΤΑΣΙΑΣ ΤΟΥ ΠΟΛΙΤΗ","ΕΝΤΟΣ","","www.pseed.gr","","LiteSpeed/nginx/","yes","yes","self hosted","N/A"
"ΥΠΗΡΕΣΙΑ ΕΣΩΤΕΡΙΚΩΝ ΥΠΟΘΕΣΕΩΝ ΛΣ-ΕΛ.ΑΚΤ.","ΝΑΥΤΙΛΙΑΣ ΚΑΙ ΝΗΣΙΩΤΙΚΗΣ ΠΟΛΙΤΙΚΗΣ","ΥΠΗΡΕΣΙΕΣ ΚΑΙ ΣΩΜΑΤΑ ΕΠΙΘΕΩΡΗΣΗΣ ΚΑΙ ΕΛΕΓΧΟΥ","","ΕΝΤΟΣ","","www.minadmin.gov.gr","PHP/","Apache/Apache 2.4/","yes","N/A","self hosted","N/A"
"ΥΠΗΡΕΣΙΑ ΜΟΥΣΙΚΗΣ ΥΜ/ΛΣ-ΕΛ.ΑΚΤ.","ΝΑΥΤΙΛΙΑΣ ΚΑΙ ΝΗΣΙΩΤΙΚΗΣ ΠΟΛΙΤΙΚΗΣ","ΥΠΗΡΕΣΙΕΣ ΕΙΔΙΚΟΥ ΣΚΟΠΟΥ","","ΕΝΤΟΣ","","www.minadmin.gov.gr","PHP/","Apache/Apache 2.4/","yes","N/A","self hosted","N/A"
"ΥΠΗΡΕΣΙΑ ΟΔΙΚΩΝ ΤΕΛΩΝ - ΗΛΕΚΤΡΟΝΙΚΗΣ ΔΙΑΧΕΙΡΙΣΗΣ ΟΔΙΚΩΝ ΥΠΟΔΟΜΩΝ ","ΥΠΟΔΟΜΩΝ ΚΑΙ ΜΕΤΑΦΟΡΩΝ","ΑΥΤΟΤΕΛΕΙΣ ΔΗΜΟΣΙΕΣ ΥΠΗΡΕΣΙΕΣ","ΜΕΤΑΦΟΡΩΝ","ΕΝΤΟΣ","","https://www.hellenicparliament.gr","ASP.NET 2.0/ASP.NET Ajax/ASP.NET/","IIS/IIS 7/","N/A","yes","self hosted","N/A"
"ΥΠΗΡΕΣΙΑ ΟΛΟΚΛΗΡΩΜΕΝΗΣ ΘΑΛΑΣΣΙΑΣ ΕΠΙΤΗΡΗΣΗΣ ","ΝΑΥΤΙΛΙΑΣ ΚΑΙ ΝΗΣΙΩΤΙΚΗΣ ΠΟΛΙΤΙΚΗΣ","ΥΠΗΡΕΣΙΕΣ ΕΙΔΙΚΟΥ ΣΚΟΠΟΥ","","ΕΝΤΟΣ","","noWebsite","","","","","",""
"ΥΠΗΡΕΣΙΑ ΠΛΩΤΩΝ ΜΕΣΩΝ ","ΕΣΩΤΕΡΙΚΩΝ","ΥΠΗΡΕΣΙΕΣ ΕΙΔΙΚΟΥ ΣΚΟΠΟΥ","ΔΗΜΟΣΙΑΣ ΤΑΞΗΣ ΚΑΙ ΠΡΟΣΤΑΣΙΑΣ ΤΟΥ ΠΟΛΙΤΗ","ΕΝΤΟΣ","","noWebsite","","","","","",""
"ΥΠΗΡΕΣΙΑ ΠΟΛΙΤΙΚΗΣ ΑΕΡΟΠΟΡΙΑΣ","ΥΠΟΔΟΜΩΝ ΚΑΙ ΜΕΤΑΦΟΡΩΝ","ΑΥΤΟΤΕΛΕΙΣ ΔΗΜΟΣΙΕΣ ΥΠΗΡΕΣΙΕΣ","ΜΕΤΑΦΟΡΩΝ","ΕΝΤΟΣ","","www.ypa.gr/","ASP.NET/","IIS/IIS 7/","N/A","N/A","self hosted","N/A"
"ΥΠΗΡΕΣΙΑ ΠΟΛΙΤΙΚΩΝ ΥΠΟΘΕΣΕΩΝ","ΕΞΩΤΕΡΙΚΩΝ","ΑΠΟΚΕΝΤΡΩΜΕΝΕΣ - ΠΕΡΙΦΕΡΕΙΑΚΕΣ ΥΠΗΡΕΣΙΕΣ","","ΕΝΤΟΣ","","noWebsite","","","","","",""
"ΥΠΗΡΕΣΙΑ ΣΥΝΔΕΣΜΩΝ - ΔΙΑΣΩΣΤΩΝ","ΝΑΥΤΙΛΙΑΣ ΚΑΙ ΝΗΣΙΩΤΙΚΗΣ ΠΟΛΙΤΙΚΗΣ","ΥΠΗΡΕΣΙΕΣ ΕΙΔΙΚΟΥ ΣΚΟΠΟΥ","","ΕΝΤΟΣ","","www.hcg.gr","PHP/","Apache 2.2/Apache/","yes","yes","Dedicated Hosting","Copyright Year 2011"
"ΥΠΗΡΕΣΙΑ ΥΓΕΙΟΝΟΜΙΚΟΥ ","ΝΑΥΤΙΛΙΑΣ ΚΑΙ ΝΗΣΙΩΤΙΚΗΣ ΠΟΛΙΤΙΚΗΣ","ΥΠΗΡΕΣΙΕΣ ΕΙΔΙΚΟΥ ΣΚΟΠΟΥ","","ΕΝΤΟΣ","","nomoskopio.gr","","Apache 2.4/Apache/Apache 2.2/","N/A","yes","LeaseWeb","N/A"
"ΥΠΗΡΕΣΙΑ ΥΠΟΔΟΧΗΣ ΚΑΙ ΤΑΥΤΟΠΟΙΗΣΗΣ ","ΜΕΤΑΝΑΣΤΕΥΤΙΚΗΣ ΠΟΛΙΤΙΚΗΣ","ΑΥΤΟΤΕΛΕΙΣ ΔΗΜΟΣΙΕΣ ΥΠΗΡΕΣΙΕΣ","","ΕΝΤΟΣ","","https://www.firstreception.gov.gr/","PHP/","nginx/","N/A","yes","self hosted","Copyright Year 2013"
"ΥΠΗΡΕΣΙΕΣ ΕΠΙΜΕΛΗΤΩΝ ΑΝΗΛΙΚΩΝ ΚΑΙ ΚΟΙΝΩΝΙΚΗΣ ΑΡΩΓΗΣ","ΔΙΚΑΙΟΣΥΝΗΣ ΔΙΑΦΑΝΕΙΑΣ ΚΑΙ ΑΝΘΡΩΠΙΝΩΝ ΔΙΚΑΙΩΜΑΤΩΝ ","ΑΠΟΚΕΝΤΡΩΜΕΝΕΣ - ΠΕΡΙΦΕΡΕΙΑΚΕΣ ΥΠΗΡΕΣΙΕΣ","","ΕΝΤΟΣ","","https://theartofcrime.gr","PHP/","Apache 2.2/Apache/Apache 2.4/","yes","yes","Host Europe","Copyright Year 2018"
"ΥΠΗΡΕΣΙΕΣ ΕΡΕΥΝΩΝ ΚΑΙ ΔΙΑΣΦΑΛΙΣΗΣ ΔΗΜΟΣΙΩΝ ΕΣΟΔΩΝ","ΑΝΕΞΑΡΤΗΤΗ ΑΡΧΗ ΔΗΜΟΣΙΩΝ ΕΣΟΔΩΝ","ΥΠΗΡΕΣΙΕΣ ΕΙΔΙΚΟΥ ΣΚΟΠΟΥ","","ΕΝΤΟΣ","","https://www.taxheaven.gr","Shockwave Flash Embed/PHP/","Apache 2.2/Apache/nginx/","yes","yes","Cloudflare Hosting","N/A"
"ΥΠΗΡΕΣΙΕΣ ΝΑΥΤΙΛΙΑΚΩΝ ΑΚΟΛΟΥΘΩΝ ΣΤΙΣ ΠΡΕΣΒΕΥΤΙΚΕΣ ΚΑΙ ΠΡΟΞΕΝΙΚΕΣ ΑΡΧΕΣ","ΝΑΥΤΙΛΙΑΣ ΚΑΙ ΝΗΣΙΩΤΙΚΗΣ ΠΟΛΙΤΙΚΗΣ","ΑΠΟΚΕΝΤΡΩΜΕΝΕΣ - ΠΕΡΙΦΕΡΕΙΑΚΕΣ ΥΠΗΡΕΣΙΕΣ","","ΕΝΤΟΣ","","https://www.e-nomothesia.gr","PHP/","nginx/","yes","yes","Dedicated Hosting","N/A"
"ΥΠΗΡΕΣΙΕΣ ΝΕΩΤΕΡΩΝ ΜΝΗΜΕΙΩΝ ΚΑΙ ΤΕΧΝΙΚΩΝ ΕΡΓΩΝ","ΠΟΛΙΤΙΣΜΟΥ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ","ΑΠΟΚΕΝΤΡΩΜΕΝΕΣ - ΠΕΡΙΦΕΡΕΙΑΚΕΣ ΥΠΗΡΕΣΙΕΣ","ΠΟΛΙΤΙΣΜΟΥ","ΕΝΤΟΣ","","nomoskopio.gr","","Apache 2.4/Apache/Apache 2.2/","N/A","yes","LeaseWeb","N/A"
"ΥΠΟΔΙΕΥΘΥΝΣΕΙΣ ΑΣΤΥΝΟΜΙΑΣ ΑΣΦΑΛΕΙΑΣ ΤΡΟΧΑΙΑΣ ΚΑΙ ΙΣΟΤΙΜΕΣ ΥΠΗΡΕΣΙΕΣ","ΕΣΩΤΕΡΙΚΩΝ","ΑΠΟΚΕΝΤΡΩΜΕΝΕΣ - ΠΕΡΙΦΕΡΕΙΑΚΕΣ ΥΠΗΡΕΣΙΕΣ","ΔΗΜΟΣΙΑΣ ΤΑΞΗΣ ΚΑΙ ΠΡΟΣΤΑΣΙΑΣ ΤΟΥ ΠΟΛΙΤΗ","ΕΝΤΟΣ","","www.minadmin.gov.gr","PHP/","Apache/Apache 2.4/","yes","N/A","self hosted","N/A"
"ΦΕΣΤΙΒΑΛ ΚΙΝΗΜΑΤΟΓΡΑΦΟΥ ΘΕΣΣΑΛΟΝΙΚΗΣ","ΠΟΛΙΤΙΣΜΟΥ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΙΔΙΩΤΙΚΟΥ ΔΙΚΑΙΟΥ","ΠΟΛΙΤΙΣΜΟΥ","ΕΝΤΟΣ","","https://www.filmfestival.gr","ASP.NET 2.0/ASP.NET/Ruby on Rails/","IIS/IIS 7/","N/A","N/A","self hosted","Copyright Year 2014"
"ΦΙΛΙΠΠΟΣ ΕΝΩΣΗ ΕΛΛΑΔΟΣ ","ΠΟΛΙΤΙΣΜΟΥ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","ΑΘΛΗΤΙΣΜΟΥ","ΕΝΤΟΣ","","ysterografa.gr","PHP/Goodnews/DesMagz/PHP 7/DAV/","Apache 2.2/Apache/Varnish/nginx/","yes","yes","Cloudflare Hosting","Copyright Year 2016"
"ΦΙΛΟΠΡΟΟΔΗ ΈΝΩΣΗ ΞΑΝΘΗΣ – ΛΑΟΓΡΑΦΙΚΟ ΚΑΙ ΙΣΤΟΡΙΚΟ ΜΟΥΣΕΙΟ ΞΑΝΘΗΣ","ΠΟΛΙΤΙΣΜΟΥ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ","ΚΟΙΝΩΦΕΛΗ ΙΔΡΥΜΑΤΑ","ΠΟΛΙΤΙΣΜΟΥ","ΕΚΤΟΣ","","https://empros.gr","Shockwave Flash Embed/PHP/ASP.NET/","IIS/IIS 7/Apache/Apache 2.4/","yes","yes","Hetzner","Copyright Year 2017"
"ΦΟΙΤΗΤΙΚΕΣ ΛΕΣΧΕΣ ΑΕΙ","ΠΑΙΔΕΙΑΣ ΕΡΕΥΝΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","ΠΑΙΔΕΙΑΣ ΔΙΑ ΒΙΟΥ ΜΑΘΗΣΗΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ","ΕΝΤΟΣ","","www.minadmin.gov.gr","PHP/","Apache/Apache 2.4/","yes","N/A","self hosted","N/A"
"ΦΟΡΕΑΣ ΔΙΑΧΕΙΡΙΣΗΣ ΚΟΙΝΟΧΡΗΣΤΩΝ ΕΝΤΟΣ ΤΟΥ ΜΗΤΡΟΠΟΛΙΤΙΚΟΥ ΠΟΛΟΥ ΕΛΛΗΝΙΚΟΥ - ΑΓΙΟΥ ΚΟΣΜΑ","ΕΣΩΤΕΡΙΚΩΝ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΙΔΙΩΤΙΚΟΥ ΔΙΚΑΙΟΥ","ΕΣΩΤΕΡΙΚΩΝ","ΕΝΤΟΣ","","https://www.e-nomothesia.gr","PHP/","nginx/","yes","yes","Dedicated Hosting","N/A"
"ΦΟΡΕΑΣ ΔΙΑΧΕΙΡΙΣΗΣ ΜΗΤΡΟΠΟΛΙΤΙΚΟΥ ΠΑΡΚΟΥ ΠΕΡΙΒΑΛΛΟΝΤΙΚΩΝ ΚΑΙ ΕΚΠΑΙΔΕΥΤΙΚΩΝ ΔΡΑΣΤΗΡΙΟΤΗΤΩΝ ΚΑΙ ΑΝΑΠΤΥΞΗΣ ΚΟΙΝΩΝΙΚΗΣ ΟΙΚΟΝΟΜΙΑΣ ΑΝΤΩΝΗΣ ΤΡΙΤΣΗΣ","ΠΕΡΙΒΑΛΛΟΝΤΟΣ ΚΑΙ ΕΝΕΡΓΕΙΑΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΙΔΙΩΤΙΚΟΥ ΔΙΚΑΙΟΥ","ΠΕΡΙΒΑΛΛΟΝΤΟΣ","ΕΝΤΟΣ","","doxthi.gr","Shockwave Flash Embed/PHP/","Apache/nginx/","yes","yes","Cogent Communications","Copyright Year 2014"
"ΦΟΡΕΑΣ ΔΙΑΧΕΙΡΙΣΗΣ ΠΡΟΣΤΑΤΕΥΟΜΕΝΩΝ ΠΕΡΙΟΧΩΝ ΕΘΝΙΚΟ ΘΑΛΑΣΣΙΟ ΠΑΡΚΟ ΑΛΟΝΝΗΣΟΥ - Β. ΣΠΟΡΑΔΩΝ ","ΠΕΡΙΒΑΛΛΟΝΤΟΣ ΚΑΙ ΕΝΕΡΓΕΙΑΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΙΔΙΩΤΙΚΟΥ ΔΙΚΑΙΟΥ","ΠΕΡΙΒΑΛΛΟΝΤΟΣ","ΕΝΤΟΣ","","www.minadmin.gov.gr","PHP/","Apache/Apache 2.4/","yes","N/A","self hosted","N/A"
"ΦΟΡΕΑΣ ΔΙΑΧΕΙΡΙΣΗΣ ΠΡΟΣΤΑΤΕΥΟΜΕΝΩΝ ΠΕΡΙΟΧΩΝ ΑΜΒΡΑΚΙΚΟΥ ΚΟΛΠΟΥ - ΛΕΥΚΑΔΑΣ","ΠΕΡΙΒΑΛΛΟΝΤΟΣ ΚΑΙ ΕΝΕΡΓΕΙΑΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΙΔΙΩΤΙΚΟΥ ΔΙΚΑΙΟΥ","ΠΕΡΙΒΑΛΛΟΝΤΟΣ","ΕΝΤΟΣ","","www.minadmin.gov.gr","PHP/","Apache/Apache 2.4/","yes","N/A","self hosted","N/A"
"ΦΟΡΕΑΣ ΔΙΑΧΕΙΡΙΣΗΣ ΠΡΟΣΤΑΤΕΥΟΜΕΝΩΝ ΠΕΡΙΟΧΩΝ ΒΟΡΑ - ΠΑΙΚΟΥ - ΒΕΡΜΙΟΥ","ΠΕΡΙΒΑΛΛΟΝΤΟΣ ΚΑΙ ΕΝΕΡΓΕΙΑΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΙΔΙΩΤΙΚΟΥ ΔΙΚΑΙΟΥ","ΠΕΡΙΒΑΛΛΟΝΤΟΣ","ΕΝΤΟΣ","","https://workenter.gr","","nginx/","yes","yes","Hetzner","N/A"
"ΦΟΡΕΑΣ ΔΙΑΧΕΙΡΙΣΗΣ ΠΡΟΣΤΑΤΕΥΟΜΕΝΩΝ ΠΕΡΙΟΧΩΝ ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ","ΠΕΡΙΒΑΛΛΟΝΤΟΣ ΚΑΙ ΕΝΕΡΓΕΙΑΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΙΔΙΩΤΙΚΟΥ ΔΙΚΑΙΟΥ","ΠΕΡΙΒΑΛΛΟΝΤΟΣ","ΕΝΤΟΣ","","https://www.emprosnet.gr","PHP/ASP.NET Ajax/ASP.NET/","nginx/Apache/IIS 6/IIS/IIS 7/","yes","yes","OVH","Copyright Year 2017"
"ΦΟΡΕΑΣ ΔΙΑΧΕΙΡΙΣΗΣ ΠΡΟΣΤΑΤΕΥΟΜΕΝΩΝ ΠΕΡΙΟΧΩΝ ΔΕΛΤΑ ΕΒΡΟΥ & ΣΑΜΟΘΡΑΚΗΣ","ΠΕΡΙΒΑΛΛΟΝΤΟΣ ΚΑΙ ΕΝΕΡΓΕΙΑΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΙΔΙΩΤΙΚΟΥ ΔΙΚΑΙΟΥ","ΠΕΡΙΒΑΛΛΟΝΤΟΣ","ΕΝΤΟΣ","","https://www.evros-delta.gr/","PHP/","Apache/","yes","yes","Hetzner","Copyright Year 2011"
